system,protocol,fold,k,alpha,MAE_data,MAE_users,RMSE,RMSE_users,CR
CF,A_warm,0,1,0.0,0.8419,0.8513,1.0936,1.0079,0.4032
CF,A_warm,0,2,0.0,0.8474,0.8619,1.1009,1.0517,0.5977
CF,A_warm,0,4,0.0,0.8143,0.8314,1.0565,1.0294,0.7806
CF,A_warm,0,6,0.0,0.7865,0.7965,1.0203,0.9914,0.8614
CF,A_warm,0,8,0.0,0.7759,0.7953,1.0044,0.9867,0.9041
CF,A_warm,0,10,0.0,0.7664,0.784,0.989,0.9673,0.9282
CF,A_warm,0,15,0.0,0.7481,0.7666,0.9665,0.9457,0.9581
CF,A_warm,0,20,0.0,0.7386,0.7571,0.952,0.9323,0.9732
CF,A_warm,0,30,0.0,0.7249,0.7415,0.9348,0.9142,0.989
CF,A_warm,0,50,0.0,0.7159,0.7319,0.9202,0.8986,0.9982
CF,A_warm,1,1,0.0,0.8566,0.8925,1.113,1.0603,0.4057
CF,A_warm,1,2,0.0,0.836,0.8502,1.0802,1.0357,0.6095
CF,A_warm,1,4,0.0,0.8099,0.8237,1.0509,1.0224,0.7753
CF,A_warm,1,6,0.0,0.7897,0.7985,1.025,0.9941,0.8639
CF,A_warm,1,8,0.0,0.7765,0.7801,1.0065,0.9719,0.9066
CF,A_warm,1,10,0.0,0.7642,0.7732,0.9909,0.9623,0.9314
CF,A_warm,1,15,0.0,0.7473,0.7536,0.9661,0.9334,0.9645
CF,A_warm,1,20,0.0,0.7378,0.7455,0.9539,0.9236,0.979
CF,A_warm,1,30,0.0,0.7257,0.7349,0.9391,0.9103,0.9914
CF,A_warm,1,50,0.0,0.7183,0.728,0.9276,0.9008,0.998
CF,A_warm,2,1,0.0,0.8519,0.8855,1.116,1.0535,0.4122
CF,A_warm,2,2,0.0,0.8381,0.8568,1.093,1.056,0.6131
CF,A_warm,2,4,0.0,0.8124,0.8356,1.0585,1.0414,0.7824
CF,A_warm,2,6,0.0,0.7922,0.8145,1.0282,1.014,0.8643
