system,protocol,fold,k,alpha,MAE_data,MAE_users,RMSE,RMSE_users,CR
FUS,A_warm,0,1,0.0,0.8746,0.884,1.1519,1.0919,0.5997
FUS,A_warm,0,2,0.0,0.8428,0.8575,1.1012,1.0654,0.7844
FUS,A_warm,0,4,0.0,0.8125,0.8196,1.0597,1.0225,0.916
FUS,A_warm,0,6,0.0,0.7928,0.8012,1.0288,0.9966,0.9514
FUS,A_warm,0,8,0.0,0.7776,0.7883,1.0075,0.9799,0.9721
FUS,A_warm,0,10,0.0,0.7716,0.7843,0.9964,0.9716,0.9819
FUS,A_warm,0,15,0.0,0.7578,0.7707,0.976,0.9508,0.9927
FUS,A_warm,0,20,0.0,0.7495,0.7633,0.9647,0.9406,0.9962
FUS,A_warm,0,30,0.0,0.7399,0.7545,0.9509,0.9277,0.9985
FUS,A_warm,0,50,0.0,0.734,0.7491,0.94,0.9174,0.9997
FUS,A_warm,0,1,0.7,0.8649,0.8806,1.143,1.0878,0.5718
FUS,A_warm,0,2,0.7,0.8408,0.8557,1.1021,1.064,0.7607
FUS,A_warm,0,4,0.7,0.8132,0.8221,1.0646,1.0291,0.8967
FUS,A_warm,0,6,0.7,0.7964,0.8071,1.0385,1.0051,0.9392
FUS,A_warm,0,8,0.7,0.7838,0.7965,1.0184,0.9884,0.9611
FUS,A_warm,0,10,0.7,0.7747,0.7865,1.0065,0.977,0.9738
FUS,A_warm,0,15,0.7,0.7634,0.7777,0.9894,0.9628,0.9867
FUS,A_warm,0,20,0.7,0.7559,0.7704,0.9783,0.9509,0.9909
FUS,A_warm,0,30,0.7,0.7452,0.7597,0.961,0.9357,0.9951
FUS,A_warm,0,50,0.7,0.7396,0.7534,0.9494,0.9233,0.9969
FUS,A_warm,0,1,0.8,0.8567,0.8695,1.1386,1.0744,0.5712
FUS,A_warm,0,2,0.8,0.8523,0.8746,1.1176,1.0841,0.7659
FUS,A_warm,0,4,0.8,0.8166,0.8306,1.0695,1.0365,0.8933
FUS,A_warm,0,6,0.8,0.8,0.8128,1.0426,1.0123,0.9391
FUS,A_warm,0,8,0.8,0.7842,0.7985,1.0193,0.994,0.9605
FUS,A_warm,0,10,0.8,0.7797,0.7946,1.0096,0.9857,0.9707
FUS,A_warm,0,15,0.8,0.764,0.7775,0.9885,0.961,0.9841
FUS,A_warm,0,20,0.8,0.7567,0.7716,0.9781,0.952,0.989
FUS,A_warm,0,30,0.8,0.7476,0.7624,0.9622,0.937,0.9933
