system,protocol,fold,k,alpha,MAE_data,MAE_users,RMSE,RMSE_users,CR
PF,A_warm,0,1,0.0,0.9424,0.952,1.2228,1.1134,0.3004
PF,A_warm,0,2,0.0,0.9319,0.9635,1.2025,1.1696,0.5556
PF,A_warm,0,4,0.0,0.8991,0.9286,1.1538,1.1361,0.7316
PF,A_warm,0,6,0.0,0.8766,0.9007,1.1243,1.1074,0.8401
PF,A_warm,0,8,0.0,0.8559,0.8758,1.096,1.078,0.8979
PF,A_warm,0,10,0.0,0.8393,0.8542,1.0763,1.0522,0.9223
PF,A_warm,1,1,0.0,0.9329,0.9736,1.2075,1.1445,0.3056
PF,A_warm,1,2,0.0,0.937,0.9289,1.2117,1.1313,0.5577
PF,A_warm,1,4,0.0,0.8742,0.881,1.1284,1.086,0.7564
PF,A_warm,1,6,0.0,0.8628,0.8683,1.1078,1.0725,0.8314
PF,A_warm,1,8,0.0,0.8355,0.8399,1.0742,1.0394,0.8792
PF,A_warm,1,10,0.0,0.8251,0.8307,1.0602,1.0274,0.9141
PF,A_warm,2,1,0.0,0.9439,0.9853,1.2266,1.1692,0.3165
PF,A_warm,2,2,0.0,0.9251,0.9273,1.1781,1.1236,0.5302
PF,A_warm,2,4,0.0,0.8966,0.8944,1.1436,1.0957,0.7311
PF,A_warm,2,6,0.0,0.8647,0.8619,1.1016,1.0585,0.8261
PF,A_warm,2,8,0.0,0.8484,0.8495,1.0815,1.0448,0.8755
PF,A_warm,2,10,0.0,0.8399,0.8411,1.0706,1.0353,0.906
PF,A_warm,3,1,0.0,0.9219,0.9454,1.1999,1.1174,0.2969
PF,A_warm,3,2,0.0,0.9172,0.9485,1.1903,1.157,0.5421
PF,A_warm,3,4,0.0,0.8629,0.9053,1.1218,1.1194,0.7689
PF,A_warm,3,6,0.0,0.8391,0.8718,1.0866,1.0773,0.8499
PF,A_warm,3,8,0.0,0.8317,0.8578,1.0735,1.062,0.8959
PF,A_warm,3,10,0.0,0.8207,0.8427,1.0558,1.039,0.9246
PF,A_warm,4,1,0.0,0.9558,1.0169,1.2365,1.191,0.3066
PF,A_warm,4,2,0.0,0.9311,0.9567,1.2082,1.1696,0.5391
PF,A_warm,4,4,0.0,0.8796,0.9255,1.1353,1.134,0.7578
PF,A_warm,4,6,0.0,0.8565,0.8868,1.1022,1.0882,0.8365
PF,A_warm,4,8,0.0,0.843,0.8656,1.082,1.0626,0.8805
PF,A_warm,4,10,0.0,0.8341,0.8589,1.0667,1.0514,0.9131
PF,A_warm,5,1,0.0,0.9464,0.9832,1.227,1.145,0.3057
PF,A_warm,5,2,0.0,0.9606,0.9785,1.2465,1.1955,0.5784
PF,A_warm,5,4,0.0,0.9192,0.9289,1.1877,1.1422,0.7492
PF,A_warm,5,6,0.0,0.8843,0.8916,1.1389,1.098,0.8382
PF,A_warm,5,8,0.0,0.8557,0.866,1.1029,1.0689,0.8911
PF,A_warm,5,10,0.0,0.8333,0.8422,1.0708,1.0365,0.9267
PF,A_warm,6,1,0.0,0.9025,0.9148,1.1707,1.0887,0.3584
PF,A_warm,6,2,0.0,0.9444,0.9483,1.2247,1.1657,0.5605
PF,A_warm,6,4,0.0,0.9003,0.9036,1.1548,1.1131,0.7458
PF,A_warm,6,6,0.0,0.8711,0.8661,1.1164,1.0736,0.8288
PF,A_warm,6,8,0.0,0.8533,0.8442,1.0925,1.0469,0.8817
PF,A_warm,6,10,0.0,0.8453,0.8386,1.0812,1.0358,0.9131
PF,A_warm,7,1,0.0,0.9446,0.9695,1.2156,1.1458,0.3054
PF,A_warm,7,2,0.0,0.8932,0.9038,1.16,1.1063,0.5717
PF,A_warm,7,4,0.0,0.88,0.8962,1.1256,1.0958,0.7461
PF,A_warm,7,6,0.0,0.8697,0.8775,1.1091,1.0774,0.8274
PF,A_warm,7,8,0.0,0.8578,0.8682,1.0946,1.0673,0.8951
PF,A_warm,7,10,0.0,0.8418,0.8515,1.0719,1.0445,0.9232
PF,A_warm,8,1,0.0,0.9501,0.9654,1.2495,1.1466,0.2998
PF,A_warm,8,2,0.0,0.9124,0.9344,1.1865,1.1468,0.5615
PF,A_warm,8,4,0.0,0.8757,0.8893,1.1351,1.1031,0.7376
PF,A_warm,8,6,0.0,0.8527,0.8677,1.098,1.0718,0.8367
PF,A_warm,8,8,0.0,0.8382,0.8439,1.079,1.0455,0.8922
PF,A_warm,8,10,0.0,0.8245,0.8302,1.0632,1.0286,0.9218
PF,A_warm,9,1,0.0,0.9277,0.9619,1.2006,1.1246,0.3024
PF,A_warm,9,2,0.0,0.9259,0.9586,1.2011,1.165,0.5419
PF,A_warm,9,4,0.0,0.8742,0.9115,1.1207,1.113,0.7428
PF,A_warm,9,6,0.0,0.8498,0.8842,1.0868,1.0845,0.8373
PF,A_warm,9,8,0.0,0.8341,0.866,1.0677,1.066,0.8964
PF,A_warm,9,10,0.0,0.8286,0.8572,1.0597,1.0528,0.9258
