system,protocol,fold,k,alpha,MAE_data,MAE_users,RMSE,RMSE_users,CR
GIM,A_warm,0,1,0.0,0.8946,0.9069,1.1839,1.0851,0.3634
GIM,A_warm,0,2,0.0,0.8882,0.9075,1.1635,1.1074,0.5538
GIM,A_warm,0,4,0.0,0.8551,0.8667,1.1092,1.069,0.7237
GIM,A_warm,0,6,0.0,0.8435,0.8552,1.0845,1.056,0.8161
GIM,A_warm,0,8,0.0,0.826,0.8397,1.0613,1.035,0.8676
GIM,A_warm,0,10,0.0,0.8172,0.8271,1.047,1.0157,0.8994
GIM,A_warm,1,1,0.0,0.9205,0.9158,1.2099,1.1069,0.3815
GIM,A_warm,1,2,0.0,0.8925,0.8967,1.1659,1.1023,0.567
GIM,A_warm,1,4,0.0,0.8594,0.8636,1.114,1.0722,0.7567
GIM,A_warm,1,6,0.0,0.8349,0.8416,1.0812,1.0494,0.8411
GIM,A_warm,1,8,0.0,0.8228,0.8278,1.0601,1.0284,0.8887
GIM,A_warm,1,10,0.0,0.8108,0.8185,1.0428,1.0143,0.9149
GIM,A_warm,2,1,0.0,0.8973,0.8938,1.191,1.0794,0.3815
GIM,A_warm,2,2,0.0,0.8922,0.9051,1.1593,1.1048,0.5686
GIM,A_warm,2,4,0.0,0.8558,0.8608,1.1062,1.0638,0.749
GIM,A_warm,2,6,0.0,0.8313,0.8386,1.0759,1.0413,0.8288
GIM,A_warm,2,8,0.0,0.8191,0.8203,1.0552,1.0162,0.8741
GIM,A_warm,2,10,0.0,0.8127,0.8169,1.0438,1.0069,0.9042
GIM,A_warm,3,1,0.0,0.9127,0.9325,1.1952,1.1148,0.407
GIM,A_warm,3,2,0.0,0.8651,0.8727,1.1317,1.075,0.5935
GIM,A_warm,3,4,0.0,0.8355,0.8408,1.079,1.0383,0.7559
GIM,A_warm,3,6,0.0,0.8124,0.8139,1.0475,1.0052,0.8399
GIM,A_warm,3,8,0.0,0.7993,0.8043,1.0299,0.9939,0.8832
GIM,A_warm,3,10,0.0,0.7919,0.7967,1.0165,0.9821,0.9112
GIM,A_warm,4,1,0.0,0.9026,0.9344,1.1846,1.1182,0.3827
GIM,A_warm,4,2,0.0,0.8961,0.917,1.1599,1.1207,0.564
GIM,A_warm,4,4,0.0,0.8584,0.8796,1.109,1.0837,0.7488
GIM,A_warm,4,6,0.0,0.8395,0.86,1.0859,1.0652,0.8344
GIM,A_warm,4,8,0.0,0.8238,0.8383,1.063,1.0385,0.8823
GIM,A_warm,4,10,0.0,0.8049,0.8187,1.0362,1.013,0.9096
GIM,A_warm,5,1,0.0,0.9087,0.9193,1.1981,1.1117,0.4029
GIM,A_warm,5,2,0.0,0.8963,0.9051,1.1707,1.1164,0.5847
GIM,A_warm,5,4,0.0,0.869,0.8815,1.1258,1.0946,0.7537
GIM,A_warm,5,6,0.0,0.8541,0.8648,1.1016,1.0753,0.8292
GIM,A_warm,5,8,0.0,0.8357,0.8493,1.0784,1.0547,0.8752
GIM,A_warm,5,10,0.0,0.8225,0.8323,1.0569,1.0315,0.9014
GIM,A_warm,6,1,0.0,0.9312,0.9454,1.238,1.1452,0.3985
GIM,A_warm,6,2,0.0,0.8984,0.8905,1.1803,1.1028,0.5779
GIM,A_warm,6,4,0.0,0.8585,0.846,1.1205,1.0579,0.752
GIM,A_warm,6,6,0.0,0.8404,0.8309,1.0908,1.0347,0.8326
GIM,A_warm,6,8,0.0,0.8285,0.818,1.0766,1.0236,0.8783
GIM,A_warm,6,10,0.0,0.8131,0.8036,1.0535,1.0037,0.9091
GIM,A_warm,7,1,0.0,0.9004,0.9292,1.1934,1.1158,0.3942
GIM,A_warm,7,2,0.0,0.8903,0.9032,1.171,1.1138,0.5839
GIM,A_warm,7,4,0.0,0.8633,0.8723,1.1306,1.0865,0.754
GIM,A_warm,7,6,0.0,0.8347,0.8405,1.0853,1.045,0.8355
GIM,A_warm,7,8,0.0,0.8184,0.8272,1.0598,1.0273,0.8824
GIM,A_warm,7,10,0.0,0.806,0.8139,1.0415,1.0109,0.9143
GIM,A_warm,8,1,0.0,0.8697,0.8979,1.1539,1.0837,0.3815
GIM,A_warm,8,2,0.0,0.8599,0.883,1.1347,1.0907,0.5653
GIM,A_warm,8,4,0.0,0.8478,0.8642,1.1104,1.0734,0.7498
GIM,A_warm,8,6,0.0,0.8262,0.833,1.0746,1.0375,0.8368
GIM,A_warm,8,8,0.0,0.8091,0.8139,1.048,1.0123,0.8805
GIM,A_warm,8,10,0.0,0.7989,0.8063,1.0343,1.0027,0.9091
GIM,A_warm,9,1,0.0,0.9004,0.9219,1.1797,1.1077,0.379
GIM,A_warm,9,2,0.0,0.8808,0.9108,1.1501,1.1159,0.5566
GIM,A_warm,9,4,0.0,0.8634,0.8818,1.1175,1.0891,0.7351
GIM,A_warm,9,6,0.0,0.8388,0.8601,1.081,1.0621,0.8151
GIM,A_warm,9,8,0.0,0.8225,0.8473,1.0586,1.0444,0.8663
GIM,A_warm,9,10,0.0,0.8139,0.8362,1.0487,1.0321,0.899
